     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
              0    5.00000e-01    1.50000e+00    1.00000e+00   -1.00000e+00   -1.00000e+00
              1    5.00000e-01    5.00000e-01    0.00000e+00    3.16228e-04    3.16228e-04
              2    4.99368e-01    5.00316e-01    3.16228e-04    3.24346e-04    3.24346e-04
              3    4.98720e-01    5.00641e-01    6.40573e-04    3.29848e-04    3.29848e-04
              4    4.98061e-01    5.00970e-01    9.70421e-04    3.34066e-04    3.34066e-04
              5    4.97394e-01    5.01304e-01    1.30449e-03    3.37525e-04    3.37525e-04
              6    4.96721e-01    5.01642e-01    1.64201e-03    3.40485e-04    3.40485e-04
              7    4.96043e-01    5.01982e-01    1.98250e-03    3.43092e-04    3.43092e-04
              8    4.95360e-01    5.02326e-01    2.32559e-03    3.45437e-04    3.45437e-04
              9    4.94672e-01    5.02671e-01    2.67103e-03    3.47582e-04    3.47582e-04
             10    4.93981e-01    5.03019e-01    3.01861e-03    3.49568e-04    3.49568e-04
             11    4.93286e-01    5.03368e-01    3.36818e-03    3.51426e-04    3.51426e-04
             12    4.92588e-01    5.03720e-01    3.71960e-03    3.53179e-04    3.53179e-04
             13    4.91888e-01    5.04073e-01    4.07278e-03    3.54843e-04    3.54843e-04
             14    4.91184e-01    5.04428e-01    4.42763e-03    3.56433e-04    3.56433e-04
             15    4.90478e-01    5.04784e-01    4.78406e-03    3.57960e-04    3.57960e-04
             16    4.89769e-01    5.05142e-01    5.14202e-03    3.59431e-04    3.59431e-04
             17    4.89058e-01    5.05501e-01    5.50145e-03    3.60855e-04    3.60855e-04
             18    4.88344e-01    5.05862e-01    5.86230e-03    3.62236e-04    3.62236e-04
             19    4.87628e-01    5.06225e-01    6.22454e-03    3.63581e-04    3.63581e-04
             20    4.86911e-01    5.06588e-01    6.58812e-03    3.64893e-04    3.64893e-04
             21    4.86191e-01    5.06953e-01    6.95301e-03    3.66175e-04    3.66175e-04
             22    4.85469e-01    5.07319e-01    7.31919e-03    3.67431e-04    3.67431e-04
             23    4.84745e-01    5.07687e-01    7.68662e-03    3.68663e-04    3.68663e-04
             24    4.84019e-01    5.08055e-01    8.05528e-03    3.69874e-04    3.69874e-04
             25    4.83292e-01    5.08425e-01    8.42516e-03    3.71065e-04    3.71065e-04
             26    4.82562e-01    5.08796e-01    8.79622e-03    3.72238e-04    3.72238e-04
             27    4.81831e-01    5.09168e-01    9.16846e-03    3.73395e-04    3.73395e-04
             28    4.81098e-01    5.09542e-01    9.54185e-03    3.74536e-04    3.74536e-04
             29    4.80364e-01    5.09916e-01    9.91639e-03    3.75663e-04    3.75663e-04
             30    4.79628e-01    5.10292e-01    1.02921e-02    3.76777e-04    3.76777e-04
             31    4.78890e-01    5.10669e-01    1.06688e-02    3.77879e-04    3.77879e-04
             32    4.78151e-01    5.11047e-01    1.10467e-02    3.78970e-04    3.78970e-04
             33    4.77410e-01    5.11426e-01    1.14257e-02    3.80050e-04    3.80050e-04
             34    4.76667e-01    5.11806e-01    1.18057e-02    3.81120e-04    3.81120e-04
             35    4.75923e-01    5.12187e-01    1.21868e-02    3.82180e-04    3.82180e-04
             36    4.75178e-01    5.12569e-01    1.25690e-02    3.83231e-04    3.83231e-04
             37    4.74431e-01    5.12952e-01    1.29523e-02    3.84274e-04    3.84274e-04
             38    4.73683e-01    5.13337e-01    1.33365e-02    3.85309e-04    3.85309e-04
             39    4.72933e-01    5.13722e-01    1.37218e-02    3.86335e-04    3.86335e-04
             40    4.72182e-01    5.14108e-01    1.41082e-02    3.87354e-04    3.87354e-04
             41    4.71429e-01    5.14496e-01    1.44955e-02    3.88366e-04    3.88366e-04
             42    4.70675e-01    5.14884e-01    1.48839e-02    3.89371e-04    3.89371e-04
             43    4.69920e-01    5.15273e-01    1.52733e-02    3.90370e-04    3.90370e-04
             44    4.69163e-01    5.15664e-01    1.56636e-02    3.91361e-04    3.91361e-04
             45    4.68406e-01    5.16055e-01    1.60550e-02    3.92347e-04    3.92347e-04
             46    4.67646e-01    5.16447e-01    1.64473e-02    3.93326e-04    3.93326e-04
             47    4.66886e-01    5.16841e-01    1.68407e-02    3.94300e-04    3.94300e-04
             48    4.66124e-01    5.17235e-01    1.72350e-02    3.95268e-04    3.95268e-04
             49    4.65361e-01    5.17630e-01    1.76302e-02    3.96230e-04    3.96230e-04
             50    4.64597e-01    5.18026e-01    1.80265e-02    3.97186e-04    3.97186e-04
             51    4.63832e-01    5.18424e-01    1.84237e-02    3.98137e-04    3.98137e-04
             52    4.63065e-01    5.18822e-01    1.88218e-02    3.99083e-04    3.99083e-04
             53    4.62297e-01    5.19221e-01    1.92209e-02    4.00023e-04    4.00023e-04
             54    4.61528e-01    5.19621e-01    1.96209e-02    4.00959e-04    4.00959e-04
             55    4.60758e-01    5.20022e-01    2.00219e-02    4.01889e-04    4.01889e-04
             56    4.59987e-01    5.20424e-01    2.04237e-02    4.02814e-04    4.02814e-04
             57    4.59214e-01    5.20827e-01    2.08266e-02    4.03735e-04    4.03735e-04
             58    4.58441e-01    5.21230e-01    2.12303e-02    4.04651e-04    4.04651e-04
             59    4.57666e-01    5.21635e-01    2.16349e-02    4.05561e-04    4.05561e-04
             60    4.56891e-01    5.22041e-01    2.20405e-02    4.06468e-04    4.06468e-04
             61    4.56114e-01    5.22447e-01    2.24470e-02    4.07369e-04    4.07369e-04
             62    4.55336e-01    5.22854e-01    2.28543e-02    4.08266e-04    4.08266e-04
             63    4.54557e-01    5.23263e-01    2.32626e-02    4.09158e-04    4.09158e-04
             64    4.53777e-01    5.23672e-01    2.36718e-02    4.10046e-04    4.10046e-04
             65    4.52996e-01    5.24082e-01    2.40818e-02    4.10930e-04    4.10930e-04
