     count_list      y_history   x[0]_history   x[1]_history  dx[0]_history  dx[1]_history
              0    5.00000e-01    1.50000e+00    1.00000e+00   -1.00000e+00   -1.00000e+00
              1    5.00000e-01    5.00000e-01    0.00000e+00    1.00000e-01    1.00000e-01
              2    3.20000e-01    6.00000e-01    1.00000e-01    9.88126e-02    9.88126e-02
              3    1.81428e-01    6.98813e-01    1.98813e-01    9.63162e-02    9.63162e-02
              4    8.39445e-02    7.95129e-01    2.95129e-01    9.19559e-02    9.19559e-02
              5    2.54998e-02    8.87085e-01    3.87085e-01    8.51009e-02    8.51009e-02
              6    1.54729e-03    9.72186e-01    4.72186e-01    7.52460e-02    7.52460e-02
              7    4.49950e-03    1.04743e+00    5.47432e-01    6.23573e-02    6.23573e-02
              8    2.41072e-02    1.10979e+00    6.09789e-01    4.71571e-02    4.71571e-02
              9    4.92641e-02    1.15695e+00    6.56946e-01    3.10055e-02    3.10055e-02
             10    7.06515e-02    1.18795e+00    6.87951e-01    1.53714e-02    1.53714e-02
             11    8.26803e-02    1.20332e+00    7.03323e-01    1.33562e-03    1.33562e-03
             12    8.37702e-02    1.20466e+00    7.04658e-01   -1.05459e-02   -1.05459e-02
             13    7.53594e-02    1.19411e+00    6.94113e-01   -2.01042e-02   -2.01042e-02
             14    6.05578e-02    1.17401e+00    6.74008e-01   -2.73662e-02   -2.73662e-02
             15    4.30079e-02    1.14664e+00    6.46642e-01   -3.24212e-02   -3.24212e-02
             16    2.60929e-02    1.11422e+00    6.14221e-01   -3.53614e-02   -3.53614e-02
             17    1.24377e-02    1.07886e+00    5.78860e-01   -3.62714e-02   -3.62714e-02
             18    3.62751e-03    1.04259e+00    5.42588e-01   -3.52498e-02   -3.52498e-02
             19    1.07704e-04    1.00734e+00    5.07338e-01   -3.24438e-02   -3.24438e-02
             20    1.26056e-03    9.74895e-01    4.74895e-01   -2.80823e-02   -2.80823e-02
             21    5.65785e-03    9.46812e-01    4.46812e-01   -2.24899e-02   -2.24899e-02
             22    1.14542e-02    9.24322e-01    4.24322e-01   -1.60734e-02   -1.60734e-02
             23    1.68365e-02    9.08249e-01    4.08249e-01   -9.28142e-03   -9.28142e-03
             24    2.04151e-02    8.98968e-01    3.98968e-01   -2.55490e-03   -2.55490e-03
             25    2.14606e-02    8.96413e-01    3.96413e-01    3.71565e-03    3.71565e-03
             26    1.99487e-02    9.00128e-01    4.00128e-01    9.21377e-03    9.21377e-03
             27    1.64377e-02    9.09342e-01    4.09342e-01    1.37032e-02    1.37032e-02
             28    1.18440e-02    9.23045e-01    4.23045e-01    1.70232e-02    1.70232e-02
             29    7.18356e-03    9.40069e-01    4.40069e-01    1.90823e-02    1.90823e-02
             30    3.33730e-03    9.59151e-01    4.59151e-01    1.98539e-02    1.98539e-02
             31    8.81597e-04    9.79005e-01    4.79005e-01    1.93761e-02    1.93761e-02
             32    5.24277e-06    9.98381e-01    4.98381e-01    1.77528e-02    1.77528e-02
             33    5.20598e-04    1.01613e+00    5.16134e-01    1.51521e-02    1.51521e-02
             34    1.95762e-03    1.03129e+00    5.31286e-01    1.17983e-02    1.17983e-02
             35    3.71250e-03    1.04308e+00    5.43084e-01    7.95625e-03    7.95625e-03
             36    5.21026e-03    1.05104e+00    5.51040e-01    3.90987e-03    3.90987e-03
             37    6.03909e-03    1.05495e+00    5.54950e-01   -6.11440e-05   -6.11440e-05
             38    6.02565e-03    1.05489e+00    5.54889e-01   -3.70221e-03   -3.70221e-03
             39    5.24022e-03    1.05119e+00    5.51187e-01   -6.79958e-03   -6.79958e-03
             40    3.94049e-03    1.04439e+00    5.44387e-01   -9.19041e-03   -9.19041e-03
             41    2.47766e-03    1.03520e+00    5.35197e-01   -1.07683e-02   -1.07683e-02
             42    1.19352e-03    1.02443e+00    5.24429e-01   -1.14858e-02   -1.14858e-02
             43    3.35034e-04    1.01294e+00    5.12943e-01   -1.13541e-02   -1.13541e-02
             44    5.04823e-06    1.00159e+00    5.01589e-01   -1.04405e-02   -1.04405e-02
             45    1.56707e-04    9.91148e-01    4.91148e-01   -8.86279e-03   -8.86279e-03
             46    6.27611e-04    9.82285e-01    4.82285e-01   -6.77936e-03   -6.77936e-03
             47    1.19990e-03    9.75506e-01    4.75506e-01   -4.37624e-03   -4.37624e-03
             48    1.66697e-03    9.71130e-01    4.71130e-01   -1.85153e-03   -1.85153e-03
             49    1.88764e-03    9.69278e-01    4.69278e-01    6.00566e-04    6.00566e-04
             50    1.81456e-03    9.69879e-01    4.69879e-01    2.80439e-03    2.80439e-03
             51    1.49241e-03    9.72683e-01    4.72683e-01    4.61479e-03    4.61479e-03
             52    1.03076e-03    9.77298e-01    4.77298e-01    5.92581e-03    5.92581e-03
             53    5.62877e-04    9.83224e-01    4.83224e-01    6.67579e-03    6.67579e-03
             54    2.04033e-04    9.89900e-01    4.89900e-01    6.84934e-03    6.84934e-03
             55    2.11379e-05    9.96749e-01    4.96749e-01    6.47588e-03    6.47588e-03
             56    2.07998e-05    1.00322e+00    5.03225e-01    5.62523e-03    5.62523e-03
             57    1.56649e-04    1.00885e+00    5.08850e-01    4.40010e-03    4.40010e-03
             58    3.51137e-04    1.01325e+00    5.13250e-01    2.92626e-03    2.92626e-03
             59    5.23357e-04    1.01618e+00    5.16176e-01    1.34097e-03    1.34097e-03
             60    6.13722e-04    1.01752e+00    5.17517e-01   -2.18891e-04   -2.18891e-04
             61    5.98480e-04    1.01730e+00    5.17299e-01   -1.62810e-03   -1.62810e-03
             62    4.91126e-04    1.01567e+00    5.15670e-01   -2.78262e-03   -2.78262e-03
             63    3.32193e-04    1.01289e+00    5.12888e-01   -3.60677e-03   -3.60677e-03
             64    1.72276e-04    1.00928e+00    5.09281e-01   -4.05760e-03   -4.05760e-03
             65    5.45693e-05    1.00522e+00    5.05223e-01   -4.12634e-03   -4.12634e-03
             66    2.40740e-06    1.00110e+00    5.01097e-01   -3.83704e-03   -3.83704e-03
             67    1.50142e-05    9.97260e-01    4.97260e-01   -3.24254e-03   -3.24254e-03
             68    7.15792e-05    9.94018e-01    4.94018e-01   -2.41814e-03   -2.41814e-03
             69    1.41140e-04    9.91599e-01    4.91599e-01   -1.45372e-03   -1.45372e-03
             70    1.94214e-04    9.90146e-01    4.90146e-01   -4.44887e-04   -4.44887e-04
             71    2.12146e-04    9.89701e-01    4.89701e-01    5.15802e-04    5.15802e-04
             72    1.91429e-04    9.90217e-01    4.90217e-01    1.34687e-03    1.34687e-03
             73    1.42350e-04    9.91563e-01    4.91563e-01    1.98441e-03    1.98441e-03
             74    8.32594e-05    9.93548e-01    4.93548e-01    2.38660e-03    2.38660e-03
             75    3.30568e-05    9.95934e-01    4.95934e-01    2.53598e-03    2.53598e-03
             76    4.67891e-06    9.98470e-01    4.98470e-01    2.43939e-03    2.43939e-03
             77    1.65571e-06    1.00091e+00    5.00910e-01    2.12568e-03    2.12568e-03
             78    1.84291e-05    1.00304e+00    5.03036e-01    1.64160e-03    1.64160e-03
             79    4.37515e-05    1.00468e+00    5.04677e-01    1.04624e-03    1.04624e-03
             80    6.55143e-05    1.00572e+00    5.05723e-01    4.04634e-04    4.04634e-04
             81    7.51053e-05    1.00613e+00    5.06128e-01   -2.18747e-04   -2.18747e-04
             82    6.98391e-05    1.00591e+00    5.05909e-01   -7.66093e-04   -7.66093e-04
             83    5.29046e-05    1.00514e+00    5.05143e-01   -1.19128e-03   -1.19128e-03
             84    3.12351e-05    1.00395e+00    5.03952e-01   -1.46345e-03   -1.46345e-03
             85    1.23848e-05    1.00249e+00    5.02488e-01   -1.56891e-03   -1.56891e-03
             86    1.69114e-06    1.00092e+00    5.00920e-01   -1.51124e-03   -1.51124e-03
             87    7.00194e-07    9.99408e-01    4.99408e-01   -1.30968e-03   -1.30968e-03
             88    7.23044e-06    9.98099e-01    4.98099e-01   -9.96172e-04   -9.96172e-04
             89    1.67915e-05    9.97102e-01    4.97102e-01   -6.11232e-04   -6.11232e-04
             90    2.46230e-05    9.96491e-01    4.96491e-01   -1.99344e-04   -1.99344e-04
             91    2.75003e-05    9.96292e-01    4.96292e-01    1.95805e-04    1.95805e-04
             92    2.46727e-05    9.96488e-01    4.96488e-01    5.35656e-04    5.35656e-04
             93    1.77210e-05    9.97023e-01    4.97023e-01    7.90302e-04    7.90302e-04
             94    9.56033e-06    9.97814e-01    4.97814e-01    9.40895e-04    9.40895e-04
             95    3.10236e-06    9.98755e-01    4.98755e-01    9.80756e-04    9.80756e-04
             96    1.40139e-07    9.99735e-01    4.99735e-01    9.15157e-04    9.15157e-04
             97    8.46170e-07    1.00065e+00    5.00650e-01    7.59886e-04    7.59886e-04
             98    3.97809e-06    1.00141e+00    5.01410e-01    5.38824e-04    5.38824e-04
             99    7.59845e-06    1.00195e+00    5.01949e-01    2.80838e-04    2.80838e-04
            100    9.94577e-06    1.00223e+00    5.02230e-01    1.63662e-05    1.63662e-05
            101    1.00923e-05    1.00225e+00    5.02246e-01   -2.25916e-04   -2.25916e-04
            102    8.16441e-06    1.00202e+00    5.02020e-01   -4.22017e-04   -4.22017e-04
            103    5.10996e-06    1.00160e+00    5.01598e-01   -5.54832e-04   -5.54832e-04
            104    2.17820e-06    1.00104e+00    5.01044e-01   -6.15461e-04   -6.15461e-04
            105    3.66604e-07    1.00043e+00    5.00428e-01   -6.03538e-04   -6.03538e-04
            106    6.15307e-08    9.99825e-01    4.99825e-01   -5.26623e-04   -5.26623e-04
