     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
              0    5.00000e-01    1.50000e+00    1.00000e+00   -1.00000e+00   -1.00000e+00
              1    5.00000e-01    5.00000e-01    0.00000e+00    1.00000e-02    1.00000e-02
              2    4.80200e-01    5.10000e-01    1.00000e-02    9.80000e-03    9.80000e-03
              3    4.61184e-01    5.19800e-01    1.98000e-02    9.60400e-03    9.60400e-03
              4    4.42921e-01    5.29404e-01    2.94040e-02    9.41192e-03    9.41192e-03
              5    4.25382e-01    5.38816e-01    3.88159e-02    9.22368e-03    9.22368e-03
              6    4.08536e-01    5.48040e-01    4.80396e-02    9.03921e-03    9.03921e-03
              7    3.92358e-01    5.57079e-01    5.70788e-02    8.85842e-03    8.85842e-03
              8    3.76821e-01    5.65937e-01    6.59372e-02    8.68126e-03    8.68126e-03
              9    3.61899e-01    5.74618e-01    7.46185e-02    8.50763e-03    8.50763e-03
             10    3.47568e-01    5.83126e-01    8.31261e-02    8.33748e-03    8.33748e-03
             11    3.33804e-01    5.91464e-01    9.14636e-02    8.17073e-03    8.17073e-03
             12    3.20585e-01    5.99634e-01    9.96343e-02    8.00731e-03    8.00731e-03
             13    3.07890e-01    6.07642e-01    1.07642e-01    7.84717e-03    7.84717e-03
             14    2.95698e-01    6.15489e-01    1.15489e-01    7.69022e-03    7.69022e-03
             15    2.83988e-01    6.23179e-01    1.23179e-01    7.53642e-03    7.53642e-03
             16    2.72742e-01    6.30715e-01    1.30715e-01    7.38569e-03    7.38569e-03
             17    2.61942e-01    6.38101e-01    1.38101e-01    7.23798e-03    7.23798e-03
             18    2.51569e-01    6.45339e-01    1.45339e-01    7.09322e-03    7.09322e-03
             19    2.41607e-01    6.52432e-01    1.52432e-01    6.95135e-03    6.95135e-03
             20    2.32039e-01    6.59384e-01    1.59384e-01    6.81233e-03    6.81233e-03
             21    2.22850e-01    6.66196e-01    1.66196e-01    6.67608e-03    6.67608e-03
             22    2.14025e-01    6.72872e-01    1.72872e-01    6.54256e-03    6.54256e-03
             23    2.05550e-01    6.79415e-01    1.79415e-01    6.41171e-03    6.41171e-03
             24    1.97410e-01    6.85826e-01    1.85826e-01    6.28347e-03    6.28347e-03
             25    1.89593e-01    6.92110e-01    1.92110e-01    6.15780e-03    6.15780e-03
             26    1.82085e-01    6.98268e-01    1.98268e-01    6.03465e-03    6.03465e-03
             27    1.74874e-01    7.04302e-01    2.04302e-01    5.91395e-03    5.91395e-03
             28    1.67949e-01    7.10216e-01    2.10216e-01    5.79568e-03    5.79568e-03
             29    1.61298e-01    7.16012e-01    2.16012e-01    5.67976e-03    5.67976e-03
             30    1.54911e-01    7.21692e-01    2.21692e-01    5.56617e-03    5.56617e-03
             31    1.48777e-01    7.27258e-01    2.27258e-01    5.45484e-03    5.45484e-03
             32    1.42885e-01    7.32713e-01    2.32713e-01    5.34575e-03    5.34575e-03
             33    1.37227e-01    7.38058e-01    2.38058e-01    5.23883e-03    5.23883e-03
             34    1.31793e-01    7.43297e-01    2.43297e-01    5.13405e-03    5.13405e-03
             35    1.26574e-01    7.48431e-01    2.48431e-01    5.03137e-03    5.03137e-03
             36    1.21561e-01    7.53463e-01    2.53463e-01    4.93075e-03    4.93075e-03
             37    1.16747e-01    7.58393e-01    2.58393e-01    4.83213e-03    4.83213e-03
             38    1.12124e-01    7.63226e-01    2.63226e-01    4.73549e-03    4.73549e-03
             39    1.07684e-01    7.67961e-01    2.67961e-01    4.64078e-03    4.64078e-03
             40    1.03420e-01    7.72602e-01    2.72602e-01    4.54796e-03    4.54796e-03
             41    9.93244e-02    7.77150e-01    2.77150e-01    4.45700e-03    4.45700e-03
             42    9.53912e-02    7.81607e-01    2.81607e-01    4.36786e-03    4.36786e-03
             43    9.16137e-02    7.85975e-01    2.85975e-01    4.28051e-03    4.28051e-03
             44    8.79858e-02    7.90255e-01    2.90255e-01    4.19490e-03    4.19490e-03
             45    8.45015e-02    7.94450e-01    2.94450e-01    4.11100e-03    4.11100e-03
             46    8.11553e-02    7.98561e-01    2.98561e-01    4.02878e-03    4.02878e-03
             47    7.79415e-02    8.02590e-01    3.02590e-01    3.94820e-03    3.94820e-03
             48    7.48551e-02    8.06538e-01    3.06538e-01    3.86924e-03    3.86924e-03
             49    7.18908e-02    8.10407e-01    3.10407e-01    3.79185e-03    3.79185e-03
             50    6.90439e-02    8.14199e-01    3.14199e-01    3.71602e-03    3.71602e-03
             51    6.63098e-02    8.17915e-01    3.17915e-01    3.64170e-03    3.64170e-03
             52    6.36839e-02    8.21557e-01    3.21557e-01    3.56886e-03    3.56886e-03
             53    6.11620e-02    8.25126e-01    3.25126e-01    3.49749e-03    3.49749e-03
             54    5.87400e-02    8.28623e-01    3.28623e-01    3.42754e-03    3.42754e-03
             55    5.64139e-02    8.32051e-01    3.32051e-01    3.35899e-03    3.35899e-03
             56    5.41799e-02    8.35410e-01    3.35410e-01    3.29181e-03    3.29181e-03
             57    5.20344e-02    8.38702e-01    3.38702e-01    3.22597e-03    3.22597e-03
             58    4.99738e-02    8.41928e-01    3.41928e-01    3.16145e-03    3.16145e-03
             59    4.79949e-02    8.45089e-01    3.45089e-01    3.09822e-03    3.09822e-03
             60    4.60943e-02    8.48187e-01    3.48187e-01    3.03626e-03    3.03626e-03
             61    4.42689e-02    8.51223e-01    3.51223e-01    2.97553e-03    2.97553e-03
             62    4.25159e-02    8.54199e-01    3.54199e-01    2.91602e-03    2.91602e-03
             63    4.08323e-02    8.57115e-01    3.57115e-01    2.85770e-03    2.85770e-03
             64    3.92153e-02    8.59973e-01    3.59973e-01    2.80055e-03    2.80055e-03
             65    3.76624e-02    8.62773e-01    3.62773e-01    2.74454e-03    2.74454e-03
             66    3.61709e-02    8.65518e-01    3.65518e-01    2.68964e-03    2.68964e-03
             67    3.47386e-02    8.68207e-01    3.68207e-01    2.63585e-03    2.63585e-03
             68    3.33629e-02    8.70843e-01    3.70843e-01    2.58313e-03    2.58313e-03
             69    3.20418e-02    8.73426e-01    3.73426e-01    2.53147e-03    2.53147e-03
             70    3.07729e-02    8.75958e-01    3.75958e-01    2.48084e-03    2.48084e-03
             71    2.95543e-02    8.78439e-01    3.78439e-01    2.43123e-03    2.43123e-03
             72    2.83839e-02    8.80870e-01    3.80870e-01    2.38260e-03    2.38260e-03
             73    2.72599e-02    8.83253e-01    3.83253e-01    2.33495e-03    2.33495e-03
             74    2.61804e-02    8.85587e-01    3.85587e-01    2.28825e-03    2.28825e-03
             75    2.51437e-02    8.87876e-01    3.87876e-01    2.24249e-03    2.24249e-03
             76    2.41480e-02    8.90118e-01    3.90118e-01    2.19764e-03    2.19764e-03
             77    2.31917e-02    8.92316e-01    3.92316e-01    2.15368e-03    2.15368e-03
             78    2.22734e-02    8.94470e-01    3.94470e-01    2.11061e-03    2.11061e-03
             79    2.13913e-02    8.96580e-01    3.96580e-01    2.06840e-03    2.06840e-03
             80    2.05442e-02    8.98649e-01    3.98649e-01    2.02703e-03    2.02703e-03
             81    1.97307e-02    9.00676e-01    4.00676e-01    1.98649e-03    1.98649e-03
             82    1.89493e-02    9.02662e-01    4.02662e-01    1.94676e-03    1.94676e-03
             83    1.81990e-02    9.04609e-01    4.04609e-01    1.90782e-03    1.90782e-03
             84    1.74783e-02    9.06517e-01    4.06517e-01    1.86967e-03    1.86967e-03
             85    1.67861e-02    9.08386e-01    4.08386e-01    1.83227e-03    1.83227e-03
             86    1.61214e-02    9.10219e-01    4.10219e-01    1.79563e-03    1.79563e-03
             87    1.54830e-02    9.12014e-01    4.12014e-01    1.75972e-03    1.75972e-03
             88    1.48699e-02    9.13774e-01    4.13774e-01    1.72452e-03    1.72452e-03
             89    1.42810e-02    9.15498e-01    4.15498e-01    1.69003e-03    1.69003e-03
             90    1.37155e-02    9.17188e-01    4.17188e-01    1.65623e-03    1.65623e-03
             91    1.31724e-02    9.18845e-01    4.18845e-01    1.62311e-03    1.62311e-03
             92    1.26507e-02    9.20468e-01    4.20468e-01    1.59064e-03    1.59064e-03
             93    1.21498e-02    9.22058e-01    4.22058e-01    1.55883e-03    1.55883e-03
             94    1.16686e-02    9.23617e-01    4.23617e-01    1.52765e-03    1.52765e-03
             95    1.12066e-02    9.25145e-01    4.25145e-01    1.49710e-03    1.49710e-03
             96    1.07628e-02    9.26642e-01    4.26642e-01    1.46716e-03    1.46716e-03
             97    1.03366e-02    9.28109e-01    4.28109e-01    1.43782e-03    1.43782e-03
             98    9.92724e-03    9.29547e-01    4.29547e-01    1.40906e-03    1.40906e-03
             99    9.53412e-03    9.30956e-01    4.30956e-01    1.38088e-03    1.38088e-03
            100    9.15657e-03    9.32337e-01    4.32337e-01    1.35326e-03    1.35326e-03
            101    8.79397e-03    9.33690e-01    4.33690e-01    1.32620e-03    1.32620e-03
            102    8.44573e-03    9.35016e-01    4.35016e-01    1.29967e-03    1.29967e-03
            103    8.11128e-03    9.36316e-01    4.36316e-01    1.27368e-03    1.27368e-03
            104    7.79007e-03    9.37590e-01    4.37590e-01    1.24820e-03    1.24820e-03
            105    7.48159e-03    9.38838e-01    4.38838e-01    1.22324e-03    1.22324e-03
            106    7.18532e-03    9.40061e-01    4.40061e-01    1.19878e-03    1.19878e-03
            107    6.90078e-03    9.41260e-01    4.41260e-01    1.17480e-03    1.17480e-03
            108    6.62751e-03    9.42435e-01    4.42435e-01    1.15130e-03    1.15130e-03
            109    6.36506e-03    9.43586e-01    4.43586e-01    1.12828e-03    1.12828e-03
            110    6.11300e-03    9.44714e-01    4.44714e-01    1.10571e-03    1.10571e-03
            111    5.87093e-03    9.45820e-01    4.45820e-01    1.08360e-03    1.08360e-03
            112    5.63844e-03    9.46904e-01    4.46904e-01    1.06193e-03    1.06193e-03
            113    5.41516e-03    9.47966e-01    4.47966e-01    1.04069e-03    1.04069e-03
            114    5.20072e-03    9.49006e-01    4.49006e-01    1.01987e-03    1.01987e-03
            115    4.99477e-03    9.50026e-01    4.50026e-01    9.99477e-04    9.99477e-04
            116    4.79697e-03    9.51026e-01    4.51026e-01    9.79487e-04    9.79487e-04
            117    4.60701e-03    9.52005e-01    4.52005e-01    9.59897e-04    9.59897e-04
            118    4.42458e-03    9.52965e-01    4.52965e-01    9.40699e-04    9.40699e-04
            119    4.24936e-03    9.53906e-01    4.53906e-01    9.21885e-04    9.21885e-04
            120    4.08109e-03    9.54828e-01    4.54828e-01    9.03448e-04    9.03448e-04
            121    3.91948e-03    9.55731e-01    4.55731e-01    8.85379e-04    8.85379e-04
            122    3.76427e-03    9.56616e-01    4.56616e-01    8.67671e-04    8.67671e-04
            123    3.61520e-03    9.57484e-01    4.57484e-01    8.50318e-04    8.50318e-04
            124    3.47204e-03    9.58334e-01    4.58334e-01    8.33311e-04    8.33311e-04
            125    3.33455e-03    9.59168e-01    4.59168e-01    8.16645e-04    8.16645e-04
            126    3.20250e-03    9.59984e-01    4.59984e-01    8.00312e-04    8.00312e-04
            127    3.07568e-03    9.60785e-01    4.60785e-01    7.84306e-04    7.84306e-04
            128    2.95388e-03    9.61569e-01    4.61569e-01    7.68620e-04    7.68620e-04
            129    2.83691e-03    9.62338e-01    4.62338e-01    7.53247e-04    7.53247e-04
            130    2.72457e-03    9.63091e-01    4.63091e-01    7.38183e-04    7.38183e-04
            131    2.61667e-03    9.63829e-01    4.63829e-01    7.23419e-04    7.23419e-04
            132    2.51305e-03    9.64552e-01    4.64552e-01    7.08951e-04    7.08951e-04
            133    2.41354e-03    9.65261e-01    4.65261e-01    6.94771e-04    6.94771e-04
            134    2.31796e-03    9.65956e-01    4.65956e-01    6.80876e-04    6.80876e-04
            135    2.22617e-03    9.66637e-01    4.66637e-01    6.67259e-04    6.67259e-04
            136    2.13801e-03    9.67304e-01    4.67304e-01    6.53913e-04    6.53913e-04
            137    2.05335e-03    9.67958e-01    4.67958e-01    6.40835e-04    6.40835e-04
            138    1.97204e-03    9.68599e-01    4.68599e-01    6.28018e-04    6.28018e-04
            139    1.89394e-03    9.69227e-01    4.69227e-01    6.15458e-04    6.15458e-04
            140    1.81894e-03    9.69843e-01    4.69843e-01    6.03149e-04    6.03149e-04
            141    1.74691e-03    9.70446e-01    4.70446e-01    5.91086e-04    5.91086e-04
            142    1.67773e-03    9.71037e-01    4.71037e-01    5.79264e-04    5.79264e-04
            143    1.61130e-03    9.71616e-01    4.71616e-01    5.67679e-04    5.67679e-04
            144    1.54749e-03    9.72184e-01    4.72184e-01    5.56325e-04    5.56325e-04
            145    1.48621e-03    9.72740e-01    4.72740e-01    5.45199e-04    5.45199e-04
            146    1.42735e-03    9.73285e-01    4.73285e-01    5.34295e-04    5.34295e-04
            147    1.37083e-03    9.73820e-01    4.73820e-01    5.23609e-04    5.23609e-04
            148    1.31655e-03    9.74343e-01    4.74343e-01    5.13137e-04    5.13137e-04
            149    1.26441e-03    9.74856e-01    4.74856e-01    5.02874e-04    5.02874e-04
            150    1.21434e-03    9.75359e-01    4.75359e-01    4.92817e-04    4.92817e-04
            151    1.16625e-03    9.75852e-01    4.75852e-01    4.82960e-04    4.82960e-04
            152    1.12007e-03    9.76335e-01    4.76335e-01    4.73301e-04    4.73301e-04
            153    1.07571e-03    9.76808e-01    4.76808e-01    4.63835e-04    4.63835e-04
            154    1.03312e-03    9.77272e-01    4.77272e-01    4.54558e-04    4.54558e-04
            155    9.92205e-04    9.77727e-01    4.77727e-01    4.45467e-04    4.45467e-04
            156    9.52913e-04    9.78172e-01    4.78172e-01    4.36558e-04    4.36558e-04
            157    9.15178e-04    9.78609e-01    4.78609e-01    4.27827e-04    4.27827e-04
            158    8.78937e-04    9.79036e-01    4.79036e-01    4.19270e-04    4.19270e-04
            159    8.44131e-04    9.79456e-01    4.79456e-01    4.10885e-04    4.10885e-04
            160    8.10704e-04    9.79867e-01    4.79867e-01    4.02667e-04    4.02667e-04
            161    7.78600e-04    9.80269e-01    4.80269e-01    3.94614e-04    3.94614e-04
            162    7.47767e-04    9.80664e-01    4.80664e-01    3.86721e-04    3.86721e-04
            163    7.18156e-04    9.81051e-01    4.81051e-01    3.78987e-04    3.78987e-04
            164    6.89717e-04    9.81430e-01    4.81430e-01    3.71407e-04    3.71407e-04
            165    6.62404e-04    9.81801e-01    4.81801e-01    3.63979e-04    3.63979e-04
            166    6.36173e-04    9.82165e-01    4.82165e-01    3.56699e-04    3.56699e-04
            167    6.10980e-04    9.82522e-01    4.82522e-01    3.49566e-04    3.49566e-04
            168    5.86785e-04    9.82871e-01    4.82871e-01    3.42574e-04    3.42574e-04
            169    5.63549e-04    9.83214e-01    4.83214e-01    3.35723e-04    3.35723e-04
            170    5.41232e-04    9.83550e-01    4.83550e-01    3.29008e-04    3.29008e-04
            171    5.19799e-04    9.83879e-01    4.83879e-01    3.22428e-04    3.22428e-04
            172    4.99215e-04    9.84201e-01    4.84201e-01    3.15980e-04    3.15980e-04
            173    4.79446e-04    9.84517e-01    4.84517e-01    3.09660e-04    3.09660e-04
            174    4.60460e-04    9.84827e-01    4.84827e-01    3.03467e-04    3.03467e-04
            175    4.42226e-04    9.85130e-01    4.85130e-01    2.97397e-04    2.97397e-04
            176    4.24714e-04    9.85428e-01    4.85428e-01    2.91449e-04    2.91449e-04
            177    4.07895e-04    9.85719e-01    4.85719e-01    2.85620e-04    2.85620e-04
            178    3.91743e-04    9.86005e-01    4.86005e-01    2.79908e-04    2.79908e-04
            179    3.76230e-04    9.86285e-01    4.86285e-01    2.74310e-04    2.74310e-04
            180    3.61331e-04    9.86559e-01    4.86559e-01    2.68824e-04    2.68824e-04
            181    3.47022e-04    9.86828e-01    4.86828e-01    2.63447e-04    2.63447e-04
            182    3.33280e-04    9.87091e-01    4.87091e-01    2.58178e-04    2.58178e-04
            183    3.20082e-04    9.87349e-01    4.87349e-01    2.53015e-04    2.53015e-04
            184    3.07407e-04    9.87602e-01    4.87602e-01    2.47954e-04    2.47954e-04
            185    2.95234e-04    9.87850e-01    4.87850e-01    2.42995e-04    2.42995e-04
            186    2.83542e-04    9.88093e-01    4.88093e-01    2.38135e-04    2.38135e-04
            187    2.72314e-04    9.88331e-01    4.88331e-01    2.33373e-04    2.33373e-04
            188    2.61530e-04    9.88565e-01    4.88565e-01    2.28705e-04    2.28705e-04
            189    2.51174e-04    9.88793e-01    4.88793e-01    2.24131e-04    2.24131e-04
            190    2.41227e-04    9.89018e-01    4.89018e-01    2.19649e-04    2.19649e-04
            191    2.31675e-04    9.89237e-01    4.89237e-01    2.15256e-04    2.15256e-04
            192    2.22500e-04    9.89452e-01    4.89452e-01    2.10950e-04    2.10950e-04
            193    2.13689e-04    9.89663e-01    4.89663e-01    2.06731e-04    2.06731e-04
            194    2.05227e-04    9.89870e-01    4.89870e-01    2.02597e-04    2.02597e-04
            195    1.97100e-04    9.90073e-01    4.90073e-01    1.98545e-04    1.98545e-04
            196    1.89295e-04    9.90271e-01    4.90271e-01    1.94574e-04    1.94574e-04
            197    1.81799e-04    9.90466e-01    4.90466e-01    1.90682e-04    1.90682e-04
            198    1.74600e-04    9.90657e-01    4.90657e-01    1.86869e-04    1.86869e-04
            199    1.67686e-04    9.90843e-01    4.90843e-01    1.83131e-04    1.83131e-04
            200    1.61045e-04    9.91027e-01    4.91027e-01    1.79469e-04    1.79469e-04
            201    1.54668e-04    9.91206e-01    4.91206e-01    1.75879e-04    1.75879e-04
            202    1.48543e-04    9.91382e-01    4.91382e-01    1.72362e-04    1.72362e-04
            203    1.42661e-04    9.91554e-01    4.91554e-01    1.68915e-04    1.68915e-04
            204    1.37011e-04    9.91723e-01    4.91723e-01    1.65536e-04    1.65536e-04
            205    1.31586e-04    9.91889e-01    4.91889e-01    1.62226e-04    1.62226e-04
            206    1.26375e-04    9.92051e-01    4.92051e-01    1.58981e-04    1.58981e-04
            207    1.21371e-04    9.92210e-01    4.92210e-01    1.55801e-04    1.55801e-04
            208    1.16564e-04    9.92366e-01    4.92366e-01    1.52685e-04    1.52685e-04
            209    1.11948e-04    9.92518e-01    4.92518e-01    1.49632e-04    1.49632e-04
            210    1.07515e-04    9.92668e-01    4.92668e-01    1.46639e-04    1.46639e-04
            211    1.03258e-04    9.92815e-01    4.92815e-01    1.43706e-04    1.43706e-04
            212    9.91685e-05    9.92958e-01    4.92958e-01    1.40832e-04    1.40832e-04
