     count_list      y_history   x[0]_history   x[1]_history  dx[0]_history  dx[1]_history
              0    5.00000e-01    1.50000e+00    1.00000e+00    0.00000e+00    0.00000e+00
              1    5.00000e-01    1.50000e+00    1.00000e+00   -1.00000e-03   -1.00000e-03
              2    4.98002e-01    1.49900e+00    9.99000e-01   -1.89800e-03   -1.89800e-03
              3    4.94221e-01    1.49710e+00    9.97102e-01   -2.70240e-03   -2.70240e-03
              4    4.88862e-01    1.49440e+00    9.94400e-01   -3.42096e-03   -3.42096e-03
              5    4.82120e-01    1.49098e+00    9.90979e-01   -4.06082e-03   -4.06082e-03
              6    4.74178e-01    1.48692e+00    9.86918e-01   -4.62858e-03   -4.62858e-03
              7    4.65206e-01    1.48229e+00    9.82289e-01   -5.13030e-03   -5.13030e-03
              8    4.55361e-01    1.47716e+00    9.77159e-01   -5.57159e-03   -5.57159e-03
              9    4.44789e-01    1.47159e+00    9.71587e-01   -5.95760e-03   -5.95760e-03
             10    4.33622e-01    1.46563e+00    9.65630e-01   -6.29310e-03   -6.29310e-03
             11    4.21980e-01    1.45934e+00    9.59337e-01   -6.58246e-03   -6.58246e-03
             12    4.09973e-01    1.45275e+00    9.52754e-01   -6.82973e-03   -6.82973e-03
             13    3.97697e-01    1.44592e+00    9.45924e-01   -7.03860e-03   -7.03860e-03
             14    3.85242e-01    1.43889e+00    9.38886e-01   -7.21251e-03   -7.21251e-03
             15    3.72684e-01    1.43167e+00    9.31673e-01   -7.35461e-03   -7.35461e-03
             16    3.60093e-01    1.42432e+00    9.24319e-01   -7.46779e-03   -7.46779e-03
             17    3.47529e-01    1.41685e+00    9.16851e-01   -7.55471e-03   -7.55471e-03
             18    3.35047e-01    1.40930e+00    9.09296e-01   -7.61783e-03   -7.61783e-03
             19    3.22691e-01    1.40168e+00    9.01678e-01   -7.65940e-03   -7.65940e-03
             20    3.10502e-01    1.39402e+00    8.94019e-01   -7.68150e-03   -7.68150e-03
             21    2.98513e-01    1.38634e+00    8.86337e-01   -7.68603e-03   -7.68603e-03
             22    2.86754e-01    1.37865e+00    8.78651e-01   -7.67473e-03   -7.67473e-03
             23    2.75247e-01    1.37098e+00    8.70977e-01   -7.64921e-03   -7.64921e-03
             24    2.64014e-01    1.36333e+00    8.63328e-01   -7.61094e-03   -7.61094e-03
             25    2.53069e-01    1.35572e+00    8.55717e-01   -7.56128e-03   -7.56128e-03
             26    2.42424e-01    1.34816e+00    8.48155e-01   -7.50146e-03   -7.50146e-03
             27    2.32090e-01    1.34065e+00    8.40654e-01   -7.43262e-03   -7.43262e-03
             28    2.22073e-01    1.33322e+00    8.33221e-01   -7.35580e-03   -7.35580e-03
             29    2.12377e-01    1.32587e+00    8.25865e-01   -7.27196e-03   -7.27196e-03
             30    2.03004e-01    1.31859e+00    8.18593e-01   -7.18195e-03   -7.18195e-03
             31    1.93954e-01    1.31141e+00    8.11412e-01   -7.08658e-03   -7.08658e-03
             32    1.85227e-01    1.30432e+00    8.04325e-01   -6.98657e-03   -6.98657e-03
             33    1.76820e-01    1.29734e+00    7.97338e-01   -6.88259e-03   -6.88259e-03
             34    1.68729e-01    1.29046e+00    7.90456e-01   -6.77524e-03   -6.77524e-03
             35    1.60949e-01    1.28368e+00    7.83681e-01   -6.66508e-03   -6.66508e-03
             36    1.53475e-01    1.27702e+00    7.77015e-01   -6.55260e-03   -6.55260e-03
             37    1.46300e-01    1.27046e+00    7.70463e-01   -6.43827e-03   -6.43827e-03
             38    1.39418e-01    1.26402e+00    7.64025e-01   -6.32249e-03   -6.32249e-03
             39    1.32821e-01    1.25770e+00    7.57702e-01   -6.20564e-03   -6.20564e-03
             40    1.26501e-01    1.25150e+00    7.51496e-01   -6.08807e-03   -6.08807e-03
             41    1.20451e-01    1.24541e+00    7.45408e-01   -5.97008e-03   -5.97008e-03
             42    1.14661e-01    1.23944e+00    7.39438e-01   -5.85195e-03   -5.85195e-03
             43    1.09125e-01    1.23359e+00    7.33586e-01   -5.73393e-03   -5.73393e-03
             44    1.03833e-01    1.22785e+00    7.27852e-01   -5.61624e-03   -5.61624e-03
