     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
              0    5.00000e-01    1.50000e+00    1.00000e+00   -1.00000e+00   -1.00000e+00
              1    5.00000e-01    5.00000e-01    0.00000e+00    3.16228e-02    3.16228e-02
              2    4.38754e-01    5.31623e-01    3.16228e-02    2.22188e-02    2.22188e-02
              3    3.98115e-01    5.53842e-01    5.38415e-02    1.82296e-02    1.82296e-02
              4    3.66246e-01    5.72071e-01    7.20711e-02    1.59234e-02    1.59234e-02
              5    3.39497e-01    5.87995e-01    8.79946e-02    1.43901e-02    1.43901e-02
              6    3.16196e-01    6.02385e-01    1.02385e-01    1.32844e-02    1.32844e-02
              7    2.95421e-01    6.15669e-01    1.15669e-01    1.24432e-02    1.24432e-02
              8    2.76601e-01    6.28112e-01    1.28112e-01    1.17784e-02    1.17784e-02
              9    2.59358e-01    6.39891e-01    1.39891e-01    1.12376e-02    1.12376e-02
             10    2.43423e-01    6.51128e-01    1.51128e-01    1.07875e-02    1.07875e-02
             11    2.28602e-01    6.61916e-01    1.61916e-01    1.04057e-02    1.04057e-02
             12    2.14747e-01    6.72321e-01    1.72321e-01    1.00768e-02    1.00768e-02
             13    2.01742e-01    6.82398e-01    1.82398e-01    9.78949e-03    9.78949e-03
             14    1.89497e-01    6.92188e-01    1.92188e-01    9.53546e-03    9.53546e-03
             15    1.77938e-01    7.01723e-01    2.01723e-01    9.30837e-03    9.30837e-03
             16    1.67006e-01    7.11032e-01    2.11032e-01    9.10330e-03    9.10330e-03
             17    1.56649e-01    7.20135e-01    2.20135e-01    8.91636e-03    8.91636e-03
             18    1.46827e-01    7.29051e-01    2.29051e-01    8.74443e-03    8.74443e-03
             19    1.37502e-01    7.37796e-01    2.37796e-01    8.58496e-03    8.58496e-03
             20    1.28646e-01    7.46381e-01    2.46381e-01    8.43586e-03    8.43586e-03
             21    1.20230e-01    7.54816e-01    2.54816e-01    8.29536e-03    8.29536e-03
             22    1.12232e-01    7.63112e-01    2.63112e-01    8.16198e-03    8.16198e-03
             23    1.04631e-01    7.71274e-01    2.71274e-01    8.03446e-03    8.03446e-03
             24    9.74097e-02    7.79308e-01    2.79308e-01    7.91169e-03    7.91169e-03
             25    9.05507e-02    7.87220e-01    2.87220e-01    7.79272e-03    7.79272e-03
             26    8.40396e-02    7.95013e-01    2.95013e-01    7.67670e-03    7.67670e-03
             27    7.78630e-02    8.02689e-01    3.02689e-01    7.56288e-03    7.56288e-03
             28    7.20084e-02    8.10252e-01    3.10252e-01    7.45058e-03    7.45058e-03
             29    6.64645e-02    8.17703e-01    3.17703e-01    7.33921e-03    7.33921e-03
             30    6.12206e-02    8.25042e-01    3.25042e-01    7.22819e-03    7.22819e-03
             31    5.62666e-02    8.32270e-01    3.32270e-01    7.11701e-03    7.11701e-03
             32    5.15929e-02    8.39387e-01    3.39387e-01    7.00519e-03    7.00519e-03
             33    4.71906e-02    8.46392e-01    3.46392e-01    6.89228e-03    6.89228e-03
             34    4.30508e-02    8.53285e-01    3.53285e-01    6.77785e-03    6.77785e-03
             35    3.91650e-02    8.60063e-01    3.60063e-01    6.66152e-03    6.66152e-03
             36    3.55250e-02    8.66724e-01    3.66724e-01    6.54288e-03    6.54288e-03
             37    3.21225e-02    8.73267e-01    3.73267e-01    6.42157e-03    6.42157e-03
             38    2.89497e-02    8.79688e-01    3.79688e-01    6.29725e-03    6.29725e-03
             39    2.59985e-02    8.85986e-01    3.85986e-01    6.16957e-03    6.16957e-03
             40    2.32610e-02    8.92155e-01    3.92155e-01    6.03821e-03    6.03821e-03
             41    2.07291e-02    8.98194e-01    3.98194e-01    5.90286e-03    5.90286e-03
             42    1.83950e-02    9.04096e-01    4.04096e-01    5.76323e-03    5.76323e-03
             43    1.62506e-02    9.09860e-01    4.09860e-01    5.61904e-03    5.61904e-03
             44    1.42877e-02    9.15479e-01    4.15479e-01    5.47005e-03    5.47005e-03
             45    1.24982e-02    9.20949e-01    4.20949e-01    5.31603e-03    5.31603e-03
             46    1.08738e-02    9.26265e-01    4.26265e-01    5.15680e-03    5.15680e-03
             47    9.40602e-03    9.31422e-01    4.31422e-01    4.99219e-03    4.99219e-03
             48    8.08643e-03    9.36414e-01    4.36414e-01    4.82210e-03    4.82210e-03
             49    6.90646e-03    9.41236e-01    4.41236e-01    4.64649e-03    4.64649e-03
             50    5.85745e-03    9.45882e-01    4.45882e-01    4.46536e-03    4.46536e-03
             51    4.93071e-03    9.50348e-01    4.50348e-01    4.27881e-03    4.27881e-03
             52    4.11751e-03    9.54626e-01    4.54626e-01    4.08702e-03    4.08702e-03
             53    3.40915e-03    9.58714e-01    4.58714e-01    3.89027e-03    3.89027e-03
             54    2.79696e-03    9.62604e-01    4.62604e-01    3.68895e-03    3.68895e-03
             55    2.27236e-03    9.66293e-01    4.66293e-01    3.48358e-03    3.48358e-03
             56    1.82694e-03    9.69776e-01    4.69776e-01    3.27482e-03    3.27482e-03
             57    1.45248e-03    9.73051e-01    4.73051e-01    3.06346e-03    3.06346e-03
             58    1.14103e-03    9.76115e-01    4.76115e-01    2.85044e-03    2.85044e-03
             59    8.84940e-04    9.78965e-01    4.78965e-01    2.63684e-03    2.63684e-03
             60    6.76982e-04    9.81602e-01    4.81602e-01    2.42390e-03    2.42390e-03
             61    5.10352e-04    9.84026e-01    4.84026e-01    2.21296e-03    2.21296e-03
             62    3.78745e-04    9.86239e-01    4.86239e-01    2.00547e-03    2.00547e-03
             63    2.76397e-04    9.88244e-01    4.88244e-01    1.80294e-03    1.80294e-03
             64    1.98119e-04    9.90047e-01    4.90047e-01    1.60692e-03    1.60692e-03
             65    1.39309e-04    9.91654e-01    4.91654e-01    1.41894e-03    1.41894e-03
             66    9.59666e-05    9.93073e-01    4.93073e-01    1.24044e-03    1.24044e-03
             67    6.46738e-05    9.94313e-01    4.94313e-01    1.07278e-03    1.07278e-03
             68    4.25738e-05    9.95386e-01    4.95386e-01    9.17093e-04    9.17093e-04
             69    2.73309e-05    9.96303e-01    4.96303e-01    7.74315e-04    7.74315e-04
             70    1.70805e-05    9.97078e-01    4.97078e-01    6.45102e-04    6.45102e-04
             71    1.03719e-05    9.97723e-01    4.97723e-01    5.29816e-04    5.29816e-04
             72    6.10716e-06    9.98253e-01    4.98253e-01    4.28504e-04    4.28504e-04
             73    3.47923e-06    9.98681e-01    4.98681e-01    3.40903e-04    3.40903e-04
             74    1.91313e-06    9.99022e-01    4.99022e-01    2.66456e-04    2.66456e-04
             75    1.01271e-06    9.99288e-01    4.99288e-01    2.04345e-04    2.04345e-04
             76    5.14588e-07    9.99493e-01    4.99493e-01    1.53541e-04    1.53541e-04
             77    2.50208e-07    9.99646e-01    4.99646e-01    1.12855e-04    1.12855e-04
             78    1.16013e-07    9.99759e-01    4.99759e-01    8.10030e-05    8.10030e-05
             79    5.10990e-08    9.99840e-01    4.99840e-01    5.66673e-05    5.66673e-05
             80    2.12901e-08    9.99897e-01    4.99897e-01    3.85561e-05    3.85561e-05
             81    8.35114e-09    9.99935e-01    4.99935e-01    2.54540e-05    2.54540e-05
             82    3.06774e-09    9.99961e-01    4.99961e-01    1.62619e-05    1.62619e-05
             83    1.04907e-09    9.99977e-01    4.99977e-01    1.00240e-05    1.00240e-05
             84    3.31722e-10    9.99987e-01    4.99987e-01    5.94164e-06    5.94164e-06
